"Year","Category","Sector","Country","Estimate","Lower CI","Upper CI","CV"
2014,"Turnover","Low carbon heat","Scotland",171500,18000,325000,"46"
2014,"Turnover","Low carbon heat","Wales",50000,24500,76000,"26"
2014,"Turnover","Low carbon heat","Northern Ireland",28000,24500,31500,"7"
2014,"Turnover","Energy from waste and biomass","UK",4895000,4108000,5681500,"8"
2014,"Turnover","Energy from waste and biomass","England",4315000,3683500,4946000,"7"
2014,"Turnover","Energy from waste and biomass","Scotland",369500,203000,536000,"23"
2014,"Turnover","Energy from waste and biomass","Wales",137000,73500,200500,"24"
2014,"Turnover","Energy from waste and biomass","Northern Ireland",73500,49000,98000,"17"
2014,"Turnover","Energy efficient products","UK",19982000,17535500,22428500,"6"
2014,"Turnover","Energy efficient products","England",16735500,14488500,18982500,"7"
2014,"Turnover","Energy efficient products","Scotland",2143000,1316500,2969000,"20"
2014,"Turnover","Energy efficient products","Wales",714500,621500,807500,"7"
2014,"Turnover","Energy efficient products","Northern Ireland",389500,260000,519000,"17"
2014,"Turnover","Low carbon services","UK",1144000,546000,1742000,"27"
2014,"Turnover","Low carbon services","England",983000,396500,1570000,"30"
2014,"Turnover","Low carbon services","Scotland",NA,NA,NA,"c"
2014,"Turnover","Low carbon services","Wales",NA,NA,NA,"c"
2014,"Turnover","Low carbon services","Northern Ireland",13000,1500,25000,"45"
2014,"Turnover","Low emission vehicles","UK",3581000,3493500,3668000,"1"
2014,"Turnover","Low emission vehicles","England",2992000,2910000,3074500,"1"
2014,"Turnover","Low emission vehicles","Scotland",NA,NA,NA,"c"
2014,"Turnover","Low emission vehicles","Wales",NA,NA,NA,"c"
2014,"Turnover","Low emission vehicles","Northern Ireland",276000,275000,277000,"0"
2014,"Employment (full time equivalent)","All groups","UK",235900,210600,261200,"5"
2014,"Employment (full time equivalent)","All groups","England",196100,171900,220300,"6"
2014,"Employment (full time equivalent)","All groups","Scotland",23200,18800,27600,"10"
2014,"Employment (full time equivalent)","All groups","Wales",10000,7400,12600,"13"
2014,"Employment (full time equivalent)","All groups","Northern Ireland",6600,4600,8700,"16"
2014,"Employment (full time equivalent)","Low carbon electricity","UK",40800,33100,48600,"10"
2014,"Employment (full time equivalent)","Low carbon electricity","England",31700,24300,39100,"12"
2014,"Employment (full time equivalent)","Low carbon electricity","Scotland",6800,5800,7900,"8"
2014,"Employment (full time equivalent)","Low carbon electricity","Wales",1500,1100,1900,"14"
2014,"Employment (full time equivalent)","Low carbon electricity","Northern Ireland",800,600,900,"9"
2014,"Employment (full time equivalent)","Low carbon heat","UK",5900,3600,8300,"20"
2014,"Employment (full time equivalent)","Low carbon heat","England",4600,2600,6600,"22"
2014,"Employment (full time equivalent)","Low carbon heat","Scotland",1000,-200,2200,"59"
2014,"Employment (full time equivalent)","Low carbon heat","Wales",NA,NA,NA,"22"
2014,"Employment (full time equivalent)","Low carbon heat","Northern Ireland",NA,NA,NA,"15"
2014,"Employment (full time equivalent)","Energy from waste and biomass","UK",12200,8300,16100,"16"
2014,"Employment (full time equivalent)","Energy from waste and biomass","England",10000,6600,13300,"17"
2014,"Employment (full time equivalent)","Energy from waste and biomass","Scotland",1700,500,2900,"36"
2014,"Employment (full time equivalent)","Energy from waste and biomass","Wales",NA,NA,NA,"c"
2014,"Employment (full time equivalent)","Energy from waste and biomass","Northern Ireland",NA,NA,NA,"c"
2014,"Employment (full time equivalent)","Energy efficient products","UK",154900,132400,177400,"7"
2014,"Employment (full time equivalent)","Energy efficient products","England",132800,111100,154400,"8"
2014,"Employment (full time equivalent)","Energy efficient products","Scotland",12100,8500,15800,"15"
2014,"Employment (full time equivalent)","Energy efficient products","Wales",6100,3700,8500,"20"
2014,"Employment (full time equivalent)","Energy efficient products","Northern Ireland",3900,1900,6000,"27"
2014,"Employment (full time equivalent)","Low carbon services","UK",11800,4500,19200,"32"
2014,"Employment (full time equivalent)","Low carbon services","England",9500,2400,16600,"38"
2014,"Employment (full time equivalent)","Low carbon services","Scotland",1200,700,1600,"21"
2014,"Employment (full time equivalent)","Low carbon services","Wales",NA,NA,NA,"46"
2014,"Employment (full time equivalent)","Low carbon services","Northern Ireland",NA,NA,NA,"39"
2014,"Employment (full time equivalent)","Low emission vehicles","UK",10200,9200,11200,"5"
2014,"Employment (full time equivalent)","Low emission vehicles","England",7600,6600,8600,"7"
2014,"Employment (full time equivalent)","Low emission vehicles","Scotland",300,200,500,"17"
2014,"Employment (full time equivalent)","Low emission vehicles","Wales",NA,NA,NA,"c"
2014,"Employment (full time equivalent)","Low emission vehicles","Northern Ireland",NA,NA,NA,"c"
2014,"Exports","All groups","UK",4469500,4093500,4845500,"4"
2014,"Exports","All groups","England",3714000,3343500,4084500,"5"
2014,"Exports","All groups","Scotland",295000,265000,325500,"5"
2014,"Exports","All groups","Wales",328500,325500,332000,"0"
2014,"Exports","All groups","Northern Ireland",131500,124500,139000,"3"
2014,"Exports","Low carbon electricity","UK",1040000,708000,1372500,"16"
2014,"Exports","Low carbon electricity","England",803000,472500,1133500,"21"
2014,"Exports","Low carbon electricity","Scotland",115000,101500,128500,"6"
2014,"Exports","Low carbon electricity","Wales",109500,107500,111000,"1"
2014,"Exports","Low carbon electricity","Northern Ireland",12500,11500,14000,"5"
2014,"Exports","Low carbon heat","UK",NA,NA,NA,"c"
2014,"Exports","Low carbon heat","England",3000,2000,3500,"12"
2014,"Exports","Low carbon heat","Scotland",NA,NA,NA,"c"
2014,"Exports","Low carbon heat","Wales",NA,NA,NA,"c"
2014,"Exports","Low carbon heat","Northern Ireland",NA,NA,NA,"c"
2014,"Exports","Energy from waste and biomass","UK",135000,44000,226000,"34"
2014,"Exports","Energy from waste and biomass","England",127500,36500,218500,"36"
2014,"Exports","Energy from waste and biomass","Scotland",2500,1000,4000,"33"
2014,"Exports","Energy from waste and biomass","Wales",NA,NA,NA,"c"
2014,"Exports","Energy from waste and biomass","Northern Ireland",NA,NA,NA,"c"
2014,"Exports","Energy efficient products","UK",NA,NA,NA,"c"
2014,"Exports","Energy efficient products","England",402000,275500,529000,"16"
2014,"Exports","Energy efficient products","Scotland",NA,NA,NA,"c"
2014,"Exports","Energy efficient products","Wales",28000,26000,30500,"4"
2014,"Exports","Energy efficient products","Northern Ireland",25000,19000,31000,"12"
2014,"Exports","Low carbon services","UK",NA,NA,NA,"c"
2014,"Exports","Low carbon services","England",35000,-2500,72500,"54"
2014,"Exports","Low carbon services","Scotland",2500,1500,3000,"19"
2014,"Exports","Low carbon services","Wales",NA,NA,NA,"c"
2014,"Exports","Low carbon services","Northern Ireland",NA,NA,NA,"c"
2014,"Exports","Low emission vehicles","UK",2620500,2565000,2676000,"1"
2014,"Exports","Low emission vehicles","England",2343500,2288500,2398000,"1"
2014,"Exports","Low emission vehicles","Scotland",NA,NA,NA,"c"
2014,"Exports","Low emission vehicles","Wales",NA,NA,NA,"c"
2014,"Exports","Low emission vehicles","Northern Ireland",89500,89500,89500,"0"
2014,"Imports","All groups","UK",5458500,4567000,6350000,"8"
2014,"Imports","All groups","England",4621000,3892000,5350000,"8"
2014,"Imports","All groups","Scotland",373000,231000,515000,"19"
2014,"Imports","All groups","Wales",294000,220000,367500,"13"
2014,"Imports","All groups","Northern Ireland",170500,143000,198000,"8"
2014,"Imports","Low carbon electricity","UK",1123000,769500,1476500,"16"
2014,"Imports","Low carbon electricity","England",958000,611500,1305000,"18"
2014,"Imports","Low carbon electricity","Scotland",112500,88500,136500,"11"
2014,"Imports","Low carbon electricity","Wales",31000,4500,57500,"44"
2014,"Imports","Low carbon electricity","Northern Ireland",21000,-1500,44000,"55"
2014,"Imports","Low carbon heat","UK",183500,100500,266000,"23"
2014,"Imports","Low carbon heat","England",127500,56500,198500,"28"
2014,"Imports","Low carbon heat","Scotland",32500,25500,40000,"12"
2014,"Imports","Low carbon heat","Wales",14000,7000,21000,"26"
2014,"Imports","Low carbon heat","Northern Ireland",9000,8000,10500,"6"
2014,"Imports","Energy from waste and biomass","UK",1410000,714500,2105500,"25"
2014,"Imports","Energy from waste and biomass","England",1284500,782500,1787000,"20"
2014,"Imports","Energy from waste and biomass","Scotland",79000,-55500,214000,"87"
2014,"Imports","Energy from waste and biomass","Wales",36000,-31500,103000,"96"
2014,"Imports","Energy from waste and biomass","Northern Ireland",10500,3000,18500,"37"
2014,"Imports","Energy efficient products","UK",1226000,806500,1645500,"17"
2014,"Imports","Energy efficient products","England",977000,589000,1365000,"20"
2014,"Imports","Energy efficient products","Scotland",147500,110500,184000,"13"
2014,"Imports","Energy efficient products","Wales",63000,50500,75000,"10"
2014,"Imports","Energy efficient products","Northern Ireland",38500,25000,52500,"18"
2014,"Imports","Low carbon services","UK",23500,21500,26000,"5"
2014,"Imports","Low carbon services","England",22500,20500,24000,"4"
2014,"Imports","Low carbon services","Scotland",1000,500,1500,"19"
2014,"Imports","Low carbon services","Wales",NA,NA,NA,"36"
2014,"Imports","Low carbon services","Northern Ireland",NA,NA,NA,"57"
2014,"Imports","Low emission vehicles","UK",1492500,1483500,1501500,"0"
2014,"Imports","Low emission vehicles","England",1251500,1242500,1260500,"0"
2014,"Imports","Low emission vehicles","Scotland",NA,NA,NA,"27"
2014,"Imports","Low emission vehicles","Wales",150500,150000,150500,"0"
2014,"Imports","Low emission vehicles","Northern Ireland",90500,90500,90500,"0"
2014,"Aquisitions","All groups","UK",8316000,6624500,10008000,"10"
2014,"Aquisitions","All groups","England",6691500,5036500,8346500,"13"
2014,"Aquisitions","All groups","Scotland",1197000,869000,1525500,"14"
2014,"Aquisitions","All groups","Wales",278000,155500,4e+05,"22"
2014,"Aquisitions","All groups","Northern Ireland",150000,113000,186500,"13"
2014,"Aquisitions","Low carbon electricity","UK",6118500,4510000,7727000,"13"
2014,"Aquisitions","Low carbon electricity","England",4794500,3205000,6384000,"17"
2014,"Aquisitions","Low carbon electricity","Scotland",1012000,772000,1252000,"12"
2014,"Aquisitions","Low carbon electricity","Wales",211000,126000,296000,"21"
2014,"Aquisitions","Low carbon electricity","Northern Ireland",101500,78500,124000,"11"
2014,"Aquisitions","Low carbon heat","UK",441000,336500,545500,"12"
2014,"Aquisitions","Low carbon heat","England",417500,318000,517500,"12"
2014,"Aquisitions","Low carbon heat","Scotland",2000,1000,3000,"24"
2014,"Aquisitions","Low carbon heat","Wales",15500,-15000,46500,"99"
2014,"Aquisitions","Low carbon heat","Northern Ireland",NA,NA,NA,"52"
2014,"Aquisitions","Energy from waste and biomass","UK",1019500,609000,1430000,"21"
2014,"Aquisitions","Energy from waste and biomass","England",828500,491000,1166500,"21"
2014,"Aquisitions","Energy from waste and biomass","Scotland",160000,-64000,384500,"71"
2014,"Aquisitions","Energy from waste and biomass","Wales",18500,6000,30500,"34"
2014,"Aquisitions","Energy from waste and biomass","Northern Ireland",12500,1500,23500,"45"
2014,"Aquisitions","Energy efficient products","UK",589000,363000,815500,"20"
2014,"Aquisitions","Energy efficient products","England",512500,290000,735000,"22"
2014,"Aquisitions","Energy efficient products","Scotland",20500,15500,26000,"13"
2014,"Aquisitions","Energy efficient products","Wales",27500,-3000,58500,"57"
2014,"Aquisitions","Energy efficient products","Northern Ireland",28000,2500,53500,"46"
2014,"Aquisitions","Low carbon services","UK",17500,1500,33500,"47"
2014,"Aquisitions","Low carbon services","England",NA,NA,NA,"50"
2014,"Aquisitions","Low carbon services","Scotland",NA,NA,NA,"44"
2014,"Aquisitions","Low carbon services","Wales",NA,NA,NA,"66"
2014,"Aquisitions","Low carbon services","Northern Ireland",500,-500,2000,"92"
2014,"Aquisitions","Low emission vehicles","UK",130500,48500,212500,"32"
2014,"Aquisitions","Low emission vehicles","England",123000,41000,205000,"34"
2014,"Aquisitions","Low emission vehicles","Scotland",NA,NA,NA,"19"
2014,"Aquisitions","Low emission vehicles","Wales",5000,4500,5500,"4"
2014,"Aquisitions","Low emission vehicles","Northern Ireland",1500,1500,1500,"0"
2014,"Disposals","All groups","UK",378500,132000,625500,"33"
2014,"Disposals","All groups","England",349500,104000,595000,"36"
2014,"Disposals","All groups","Scotland",11500,8000,14500,"15"
2014,"Disposals","All groups","Wales",8000,1500,14500,"41"
2014,"Disposals","All groups","Northern Ireland",10000,-5000,24500,"76"
2014,"Disposals","Low carbon electricity","UK",336000,89500,582000,"37"
2014,"Disposals","Low carbon electricity","England",NA,NA,NA,"c"
2014,"Disposals","Low carbon electricity","Scotland",9000,5500,12500,"19"
2014,"Disposals","Low carbon electricity","Wales",NA,NA,NA,"54"
2014,"Disposals","Low carbon electricity","Northern Ireland",NA,NA,NA,"c"
2014,"Disposals","Low carbon heat","UK",NA,NA,NA,"39"
2014,"Disposals","Low carbon heat","England",NA,NA,NA,"c"
2014,"Disposals","Low carbon heat","Scotland",NA,NA,NA,"7"
2014,"Disposals","Low carbon heat","Wales",NA,NA,NA,"1"
2014,"Disposals","Low carbon heat","Northern Ireland",NA,NA,NA,"c"
2014,"Disposals","Energy from waste and biomass","UK",7500,-5000,20000,"83"
2014,"Disposals","Energy from waste and biomass","England",NA,NA,NA,"c"
2014,"Disposals","Energy from waste and biomass","Scotland",NA,NA,NA,"25"
2014,"Disposals","Energy from waste and biomass","Wales",NA,NA,NA,"c"
2014,"Disposals","Energy from waste and biomass","Northern Ireland",NA,NA,NA,"c"
2014,"Disposals","Energy efficient products","UK",32500,19500,45000,"20"
2014,"Disposals","Energy efficient products","England",28000,15500,40500,"23"
2014,"Disposals","Energy efficient products","Scotland",2000,1500,2500,"9"
2014,"Disposals","Energy efficient products","Wales",NA,NA,NA,"57"
2014,"Disposals","Energy efficient products","Northern Ireland",500,500,500,"6"
2014,"Disposals","Low carbon services","UK",NA,NA,NA,"15"
2014,"Disposals","Low carbon services","England",NA,NA,NA,"15"
2014,"Disposals","Low carbon services","Scotland",NA,NA,NA,"18"
2014,"Disposals","Low carbon services","Wales",NA,NA,NA,"c"
2014,"Disposals","Low carbon services","Northern Ireland",NA,NA,NA,"34"
2014,"Disposals","Low emission vehicles","UK",NA,NA,NA,"33"
2014,"Disposals","Low emission vehicles","England",NA,NA,NA,"35"
2014,"Disposals","Low emission vehicles","Scotland",NA,NA,NA,"36"
2014,"Disposals","Low emission vehicles","Wales",NA,NA,NA,"17"
2014,"Disposals","Low emission vehicles","Northern Ireland",NA,NA,NA,"28"
2015,"Number of businesses","All groups","UK",105500,76000,135000,"14"
2015,"Number of businesses","All groups","England",92500,64000,121500,"16"
2015,"Number of businesses","All groups","Scotland",18000,9000,26500,"25"
2015,"Number of businesses","All groups","Wales",4500,2000,6500,"26"
2015,"Number of businesses","All groups","Northern Ireland",4000,-2000,9500,"74"
2015,"Number of businesses","Low carbon electricity","UK",43500,17000,69500,"31"
2015,"Number of businesses","Low carbon electricity","England",34000,8500,60000,"38"
2015,"Number of businesses","Low carbon electricity","Scotland",10500,3000,17500,"35"
2015,"Number of businesses","Low carbon electricity","Wales",NA,NA,NA,"40"
2015,"Number of businesses","Low carbon electricity","Northern Ireland",3500,-2500,9000,"87"
2015,"Number of businesses","Low carbon heat","UK",6000,-500,13000,"57"
2015,"Number of businesses","Low carbon heat","England",6000,-1000,13000,"58"
2015,"Number of businesses","Low carbon heat","Scotland",NA,NA,NA,"39"
2015,"Number of businesses","Low carbon heat","Wales",NA,NA,NA,"34"
2015,"Number of businesses","Low carbon heat","Northern Ireland",2500,-3000,8500,"108"
2015,"Number of businesses","Energy from waste and biomass","UK",9000,1500,16500,"42"
2015,"Number of businesses","Energy from waste and biomass","England",8500,1000,16000,"46"
2015,"Number of businesses","Energy from waste and biomass","Scotland",3500,-1000,8000,"66"
2015,"Number of businesses","Energy from waste and biomass","Wales",NA,NA,NA,"55"
2015,"Number of businesses","Energy from waste and biomass","Northern Ireland",2500,-3000,8500,"107"
2015,"Number of businesses","Energy efficient products","UK",48500,39500,57000,"9"
2015,"Number of businesses","Energy efficient products","England",45000,36500,53000,"9"
2015,"Number of businesses","Energy efficient products","Scotland",NA,NA,NA,"46"
2015,"Number of businesses","Energy efficient products","Wales",2000,500,4000,"38"
2015,"Number of businesses","Energy efficient products","Northern Ireland",NA,NA,NA,"37"
2015,"Number of businesses","Low carbon services","UK",5500,-2000,12500,"70"
2015,"Number of businesses","Low carbon services","England",5000,-2000,12500,"72"
2015,"Number of businesses","Low carbon services","Scotland",1000,-500,3000,"85"
2015,"Number of businesses","Low carbon services","Wales",NA,NA,NA,"39"
2015,"Number of businesses","Low carbon services","Northern Ireland",NA,NA,NA,"72"
2015,"Number of businesses","Low emission vehicles","UK",5000,-2500,12500,"76"
2015,"Number of businesses","Low emission vehicles","England",5000,-2500,12500,"77"
2015,"Number of businesses","Low emission vehicles","Scotland",NA,NA,NA,"17"
2015,"Number of businesses","Low emission vehicles","Wales",NA,NA,NA,"11"
2015,"Number of businesses","Low emission vehicles","Northern Ireland",NA,NA,NA,"53"
2015,"Turnover","All groups","UK",40234500,37340500,43128500,"4"
2015,"Turnover","All groups","England",31993500,29305500,34682000,"4"
2015,"Turnover","All groups","Scotland",5525000,5042500,6008000,"4"
2015,"Turnover","All groups","Wales",1789000,1574500,2003500,"6"
2015,"Turnover","All groups","Northern Ireland",926500,761500,1092000,"9"
2015,"Turnover","Low carbon electricity","UK",12681500,11378500,13984500,"5"
2015,"Turnover","Low carbon electricity","England",8696500,7517500,9875500,"7"
2015,"Turnover","Low carbon electricity","Scotland",3388500,3049000,3727500,"5"
2015,"Turnover","Low carbon electricity","Wales",323000,251000,395000,"11"
2015,"Turnover","Low carbon electricity","Northern Ireland",273500,142500,404500,"24"
2015,"Turnover","Low carbon heat","UK",1505500,411000,2599500,"37"
2015,"Turnover","Low carbon heat","England",1196500,189000,2204000,"43"
2015,"Turnover","Low carbon heat","Scotland",168500,61500,276000,"32"
2015,"Turnover","Low carbon heat","Wales",NA,NA,NA,"c"
2015,"Turnover","Low carbon heat","Northern Ireland",NA,NA,NA,"c"
2015,"Turnover","Energy from waste and biomass","UK",4961500,4112500,5810500,"9"
2015,"Turnover","Energy from waste and biomass","England",4420500,3727500,5113000,"8"
2015,"Turnover","Energy from waste and biomass","Scotland",NA,NA,NA,"c"
2015,"Turnover","Energy from waste and biomass","Wales",135000,105500,164500,"11"
2015,"Turnover","Energy from waste and biomass","Northern Ireland",NA,NA,NA,"c"
2015,"Turnover","Energy efficient products","UK",16703000,14843500,18562500,"6"
2015,"Turnover","Energy efficient products","England",14171500,12346000,15997000,"7"
2015,"Turnover","Energy efficient products","Scotland",1387000,1189000,1585500,"7"
2015,"Turnover","Energy efficient products","Wales",902000,748500,1055500,"9"
2015,"Turnover","Energy efficient products","Northern Ireland",242500,208500,276500,"7"
2015,"Turnover","Low carbon services","UK",680000,423000,937000,"19"
2015,"Turnover","Low carbon services","England",466500,324500,609000,"16"
2015,"Turnover","Low carbon services","Scotland",174500,42000,307000,"39"
2015,"Turnover","Low carbon services","Wales",30500,-6500,67000,"62"
2015,"Turnover","Low carbon services","Northern Ireland",8500,-2500,19500,"67"
2015,"Turnover","Low emission vehicles","UK",3703000,3390500,4015500,"4"
2015,"Turnover","Low emission vehicles","England",3042500,2730000,3354500,"5"
2015,"Turnover","Low emission vehicles","Scotland",NA,NA,NA,"c"
2015,"Turnover","Low emission vehicles","Wales",NA,NA,NA,"c"
2015,"Turnover","Low emission vehicles","Northern Ireland",NA,NA,NA,"c"
2015,"Employment (full time equivalent)","All groups","UK",200500,176800,224100,"6"
2015,"Employment (full time equivalent)","All groups","England",163000,141500,184500,"7"
2015,"Employment (full time equivalent)","All groups","Scotland",22800,16400,29200,"14"
2015,"Employment (full time equivalent)","All groups","Wales",10200,7100,13300,"15"
2015,"Employment (full time equivalent)","All groups","Northern Ireland",4400,3800,5000,"7"
2015,"Employment (full time equivalent)","Low carbon electricity","UK",33500,26000,41100,"12"
2015,"Employment (full time equivalent)","Low carbon electricity","England",24400,18000,30700,"13"
2015,"Employment (full time equivalent)","Low carbon electricity","Scotland",7700,5600,9800,"14"
2015,"Employment (full time equivalent)","Low carbon electricity","Wales",800,600,1000,"15"
2015,"Employment (full time equivalent)","Low carbon electricity","Northern Ireland",600,300,1000,"26"
2015,"Employment (full time equivalent)","Low carbon heat","UK",3300,1400,5200,"30"
2015,"Employment (full time equivalent)","Low carbon heat","England",2900,1000,4900,"33"
2015,"Employment (full time equivalent)","Low carbon heat","Scotland",200,100,300,"15"
2015,"Employment (full time equivalent)","Low carbon heat","Wales",NA,NA,NA,"1"
2015,"Employment (full time equivalent)","Low carbon heat","Northern Ireland",NA,NA,NA,"28"
2015,"Employment (full time equivalent)","Energy from waste and biomass","UK",11100,6100,16100,"23"
2015,"Employment (full time equivalent)","Energy from waste and biomass","England",8700,5000,12500,"22"
2015,"Employment (full time equivalent)","Energy from waste and biomass","Scotland",1800,-200,3700,"56"
2015,"Employment (full time equivalent)","Energy from waste and biomass","Wales",500,300,800,"19"
2015,"Employment (full time equivalent)","Energy from waste and biomass","Northern Ireland",NA,NA,NA,"30"
2015,"Employment (full time equivalent)","Energy efficient products","UK",128800,109500,148100,"8"
2015,"Employment (full time equivalent)","Energy efficient products","England",108900,91200,126600,"8"
2015,"Employment (full time equivalent)","Energy efficient products","Scotland",10400,5100,15700,"26"
2015,"Employment (full time equivalent)","Energy efficient products","Wales",7400,4400,10500,"21"
2015,"Employment (full time equivalent)","Energy efficient products","Northern Ireland",2100,1600,2600,"12"
2015,"Employment (full time equivalent)","Low carbon services","UK",8900,3100,14700,"33"
2015,"Employment (full time equivalent)","Low carbon services","England",5900,1500,10200,"38"
2015,"Employment (full time equivalent)","Low carbon services","Scotland",2600,-300,5500,"58"
2015,"Employment (full time equivalent)","Low carbon services","Wales",NA,NA,NA,"62"
2015,"Employment (full time equivalent)","Low carbon services","Northern Ireland",NA,NA,NA,"79"
2015,"Employment (full time equivalent)","Low emission vehicles","UK",14800,6300,23200,"29"
2015,"Employment (full time equivalent)","Low emission vehicles","England",12200,3700,20600,"35"
2015,"Employment (full time equivalent)","Low emission vehicles","Scotland",NA,NA,NA,"40"
2015,"Employment (full time equivalent)","Low emission vehicles","Wales",NA,NA,NA,"c"
2015,"Employment (full time equivalent)","Low emission vehicles","Northern Ireland",NA,NA,NA,"c"
2015,"Exports","All groups","UK",3665500,3425000,3906500,"3"
2015,"Exports","All groups","England",3090500,2856000,3325000,"4"
2015,"Exports","All groups","Scotland",225500,219000,232500,"2"
2015,"Exports","All groups","Wales",300500,295000,306000,"1"
2015,"Exports","All groups","Northern Ireland",49000,41000,57000,"8"
2015,"Exports","Low carbon electricity","UK",345500,329500,362000,"2"
2015,"Exports","Low carbon electricity","England",NA,NA,NA,"c"
2015,"Exports","Low carbon electricity","Scotland",NA,NA,NA,"c"
2015,"Exports","Low carbon electricity","Wales",NA,NA,NA,"c"
2015,"Exports","Low carbon electricity","Northern Ireland",4500,2500,6000,"19"
2015,"Exports","Low carbon heat","UK",NA,NA,NA,"c"
2015,"Exports","Low carbon heat","England",NA,NA,NA,"c"
2015,"Exports","Low carbon heat","Scotland",NA,NA,NA,"c"
2015,"Exports","Low carbon heat","Wales",NA,NA,NA,"c"
2015,"Exports","Low carbon heat","Northern Ireland",NA,NA,NA,"c"
2015,"Exports","Energy from waste and biomass","UK",NA,NA,NA,"c"
2015,"Exports","Energy from waste and biomass","England",NA,NA,NA,"c"
2015,"Exports","Energy from waste and biomass","Scotland",NA,NA,NA,"c"
2015,"Exports","Energy from waste and biomass","Wales",NA,NA,NA,"c"
2015,"Exports","Energy from waste and biomass","Northern Ireland",NA,NA,NA,"c"
2015,"Exports","Energy efficient products","UK",599500,423500,775500,"15"
2015,"Exports","Energy efficient products","England",407000,232000,581500,"22"
2015,"Exports","Energy efficient products","Scotland",142000,136500,147500,"2"
2015,"Exports","Energy efficient products","Wales",27500,22500,33000,"10"
2015,"Exports","Energy efficient products","Northern Ireland",23000,22000,24000,"2"
2015,"Exports","Low carbon services","UK",51500,51000,51500,"0"
2015,"Exports","Low carbon services","England",48000,47500,48000,"0"
2015,"Exports","Low carbon services","Scotland",3000,3000,3000,"0"
2015,"Exports","Low carbon services","Wales",500,500,500,"0"
2015,"Exports","Low carbon services","Northern Ireland",NA,NA,NA,"11"
2015,"Exports","Low emission vehicles","UK",2485500,2483000,2487500,"0"
2015,"Exports","Low emission vehicles","England",NA,NA,NA,"c"
2015,"Exports","Low emission vehicles","Scotland",NA,NA,NA,"c"
